Boat Name,gear_type
Arhama,Ring_net
Tanzilu,Ring_net
Itabaki stori,Ring_net
Tajiri mtoto,Ring_net
Angalia Mbele,Ring_net
Al Farooq,Handline
Kisuna,Ring_net
Muhsin,Ring_net
Tanzilu,Ring_net
Arhama,Ring_net
Mwajirina,Ring_net
Taysir,Ring_net
Tajiri mtoto,Ring_net
Kisuna,Ring_net
Al Farooq,Handline
Taysir,Ring_net
Jamila,Handline
Jamila,Handline
Arhama,Ring_net
Mwajirina,Ring_net
BinAyubu,Ring_net
Baba Wawili,Handline
Itabaki stori,Ring_net
Tajiri mtoto,Ring_net
Al Farooq,Handline
SEAZONE,Handline
Baba Wawili,Handline
Angalia Mbele,Ring_net
Arhama,Ring_net
SEAZONE,Handline
BinAyubu,Ring_net
